Unit,Name,Date (DD- MON- YYYY),Link,Type,Location,Place,Like Count (Masa Only),Cultural Site,Name of Site,Religious Theme,Name of Artifact,Desert,Nature,Name of lanscape,Wildlife,Name of Wildlife,Attire,Cuisine,Architecture,Name of Artifact,Megaevents/Festivals,Name of Event,Leisure Activity ,Name of Activity ,Orientalism,
33,1,27- Apr-2022,https://www.instagram.com/p/Cc29aBztcVi/,1,Address Sky View,1,"17,886",0,,0,,0,0,,0,,2,0,1,Burj Khalifa,0,,1,infinity pool,1,
34,1,2- May-2022,https://www.instagram.com/p/CdC1CjmKFA4/,1,Dubai,1,"7,765",0,,1,"Mosque, Eid mention",0,0,,0,,0,0,0,,0,,0,,0,
35,1,3- May-2022,https://www.instagram.com/p/CdF-tV7sd4j/,1,Dubai Creek,0,"6,740",0,,0,,0,1,Creek,0,,2,0,0,,0,,0,,1,
36,1,22- May-2022,https://www.instagram.com/p/Cd2eWo0sspf/,1,Burj Al Arab,1,"8,573",0,,0,,0,1,Ocean,0,,2,0,1,Burj Al Arab,0,,0,,1,
37,1,31- May-2022,https://www.instagram.com/p/CeNYEYBKQ-Q/,1,Museum of the Future,1,"22,973",0,,0,,0,0,,0,,0,0,1,Museum of the Future,0,,0,,1,
38,1,3- Jun-2022,https://www.instagram.com/p/CeVX4jYsmNB/,1,Burj Al Arab,1,"11,869",0,,0,,0,1,Ocean,0,,2,0,1,Burj Al Arab,0,,1,Paddleboarding,1,
39,1,7- Jun-2022,https://www.instagram.com/p/CefsTmropHr/,2,,1,"27,182",0,,0,,0,1,Island,0,,0,0,1,The Palm,0,,1,Observation deck views,1,
40,1,8- Jun-2022,https://www.instagram.com/p/CejNqIYMRNy/,1,Platinum Heritage Dubai,1,"4,038",0,,0,,1,0,,0,,2,0,0,,0,,1,Desert dining,1,
41,1,21- Jun-2022,https://www.instagram.com/p/CfEveAkv-Lo/,2,Dubai Festival City Mall,0,"7,154",0,,0,,0,0,,0,,3,0,1,,1,Imagine Show,1,Music show,1,
42,1,2- Jul-2022,https://www.instagram.com/p/CfhAu_iLRvI/,1,25Hours Hotel One Central,1,"6,985",0,,0,,0,0,,0,,0,0,1,Museum of the future,0,,1,"Lounges, and pool",1,
43,1,3- Jul-2022,https://www.instagram.com/p/CfjQ72JgfJp/,1,"The Palm Jumeirah, Dubai, UAE",0,"4,300",0,,0,,0,1,Ocean,0,,0,0,1,,0,,0,,1,
44,1,4- Jul-2022,https://www.instagram.com/p/CflLOkaKi8A/,2,,1,"6,269",0,,0,,0,0,,0,,2,0,1,Burj Khalifa,0,,1,sky deck,1,
45,1,5- Jul-2022,https://www.instagram.com/p/Cfnxb8soaPD/,2,,0,"3,948",0,,0,,0,0,,0,,0,0,0,,0,,0,,1,
46,1,10- Jul-2022,https://www.instagram.com/p/Cf0qjodAndM/,1,Dubai Frame,1,"12,656",0,,0,,0,0,,0,,0,0,1,Dubai Frame,0,,0,,1,
47,1,25- Jul-2022,https://www.instagram.com/p/CgbROi_DnrX/,1,,0,"9,937",0,,0,,0,0,,0,,2,2,0,,0,,1,pool,1,
48,1,28- Jul-2022,https://www.instagram.com/p/Cgi_mrsMyd8/,1,Dubai Marina,0,"6,567",0,,0,,0,1,ocean,0,,2,0,1,Skyline,0,,1,little boat,1,
49,1,2- Aug-2022,https://www.instagram.com/p/Cgv3lONMUEA/,1,Skydive Dubai,0,"6,470",0,,0,,0,1,Ocean,0,,2,0,1,,0,,1,Skydiving,1,
50,1,9- Aug-2022,https://www.instagram.com/p/ChCACDsMfyp/,2,"United Arab Emirates, Dubai",1,"8,071",0,,0,,0,0,,0,,3,0,1,Video- all encompassing,0,,0,,1,
51,1,12- Aug-2022,https://www.instagram.com/p/ChKXmddMay3/,2,,0,"10,226",0,,0,,0,0,,0,,0,0,1,Video- all encompassing,0,,0,,1,
52,1,13- Aug-2022,https://www.instagram.com/p/ChMMU84N0bN/,2,,1,"27,408",0,,0,,0,0,,0,,2,0,1,Burj Khalifa,0,,0,,1,
