Catagory,Place,Cultural Site,Religious Theme,Desert,Nature,Wildlife,Architecture,Megaevents/Festivals,Leisure Activity,Orientalism,
0,65,75,97,67,60,94,88,89,70,19,
1,35,25,3,33,40,6,12,11,30,81,
