Catagory,Place,Cultural Site,Religious Theme,Desert,Nature,Wildlife,Architecture,Megaevents/Festivals,Leisure Activity,Orientalism
0,53,100,97,87,60,96,26,94,46,6
1,47,0,3,13,40,4,74,6,54,94
