Place,Place,Cultural Site,Desert,Nature,Wildlife,Attire,Architecture,Megaevents/Festivals,Leisure Activity ,Orientalism
0,65,74,67,60,94,42,88,89,69,19
1,35,25,33,40,6,6,12,11,30,81
