Place,Place,Religious Theme,Desert,Nature,Wildlife,Attire,Architecture,Megaevents/Festivals,Leisure Activity ,Orientalism
0,53,97,87,60,96,55,26,94,46,6
1,47,3,13,40,4,3,74,6,54,94
