Unit,Name,Date (DD- MON- YYYY),Link,Type,Location,Place,Like Count (Masa Only),Cultural Site,Name of Site,Religious Theme,Name of Artifact,Desert,Nature,Name of lanscape,Wildlife,Name of Wildlife,Attire,Cuisine,Architecture,Name of Artifact,Megaevents/Festivals,Name of Event,Leisure Activity,Name of Activity ,Orientalism,
34,2,19- Jul-2022,https://www.instagram.com/p/CgL14ydshvg/,1,Al Asfar Lake Al Hassa,1,"1,513",0,,0,,0,1,Yellow lake,1,,0,0,0,,0,,0,,1,
35,2,20- Jul-2022,https://www.instagram.com/p/CgOi5YSsJul/,1,Al-Namas,0,618,0,,0,,0,1,Mountain and forest,0,,2,0,0,,0,,0,,1,
36,2,23- Jul-2022,https://www.instagram.com/p/CgUlzdhMv9j/,1,"Riyadh, Saudi Arabia",0,"1,698",0,,0,,0,0,,0,,0,0,1,Kingdom Tower,0,,0,,1,
37,2,25- Jul-2022,https://www.instagram.com/p/CgbwlwRMGGo/,1,"Abha, Saudi Arabia",0,675,1,Al Muftaha Village,0,,0,0,,0,,0,0,0,,0,,0,,1,
38,2,27- Jul-2022,https://www.instagram.com/p/CghcDbJsvBb/,1,Al Wahbah Crater,1,926,1,Al Wahbah Crater,0,,0,1,Crater,0,,0,0,0,,0,,0,,1,
39,2,29- Jul-2022,https://www.instagram.com/p/CgmiR9nMSdQ/,1,"AlUla, Saudi Arabia",0,635,0,,0,,1,0,,0,,2,0,0,,0,,1,Desert biking,0,
40,2,30- Jul-2022,https://www.instagram.com/p/CgorioMOD-i/,1,Saudi Arabia,1,707,0,,0,,1,1,Mountain,0,,3,0,0,,0,,0,arabian mountain time,1,
41,2,1- Aug-2022,https://www.instagram.com/p/Cgtvg1ssvpy/,1,"AlUla, Saudi Arabia",0,921,0,,0,,1,0,,0,,0,0,0,,0,,0,sky gazing,0,
42,2,4- Aug-2022,https://www.instagram.com/p/Cg1DadTsUnQ/,1,"Taif, Saudi Arabia",0,"1,330",0,,0,,0,1,Mountain,0,,0,0,0,,0,,0,Hiking trail ,1,
43,2,8- Aug-2022,https://www.instagram.com/p/Cg_PMiwsvmv/,1,"AlUla, Saudi Arabia",1,"1,394",1,AlUla mountain,0,,1,0,,0,,1,0,0,,0,,1,organized hike,0,
44,2,10- Aug-2022,https://www.instagram.com/p/ChECf85O74k/,1,Tabuk,0,785,,1,Bajdah Rock,,1,0,,0,,0,0,0,,0,,0,,0,
45,2,12- Aug-2022,https://www.instagram.com/p/ChJ8F9bs7xd/,1,"King Abdullah Economic City, Saudi Arabia",0,"1,253",0,,0,,0,1,Ocean,0,,2,0,0,,0,,1,water swinging,1,
46,2,26- Aug-2022,https://www.instagram.com/p/Cht_9Fyu-Ss/,1,Saudi Arabia,1,"1,112",0,,0,,1,1,Water,1,Camel,1,0,0,,0,,0,,1,
47,2,28- Aug-2022,https://www.instagram.com/p/ChzJjAaudyi/,1,"Riyadh, Saudi Arabia",1,"1,163",0,,0,,1,0,,0,,0,0,0,,0,,0,sand dunes,0,
48,2,30- Aug-2022,https://www.instagram.com/p/Ch3lzbdObMw/,1,"Jeddah, Saudi Arabia",0,"1,887",0,,0,,0,1, Water,0,,0,0,0,,0,,0,,1,
49,2,5- Sep-2022,https://www.instagram.com/p/CiHg6F1uQVj/,1,"AlUla, Saudi Arabia",1,"1,093",1,hegra,0,,1,0,,0,,2,0,0,,0,,1,heritage site exploration,1,
50,2,8- Sep-2022,https://www.instagram.com/p/CiPMxlIqMnz/,2,,0,"2,293",0,,0,,0,0,,0,,0,0,1,,0,,0,,1,
51,2,10- Sep-2022,https://www.instagram.com/p/CiT6i_-sXe0/,1,"Jeddah, Saudi Arabia",0,995,0,,0,,0,1,Ocean,0,,2,0,0,,0,,1,Yacht cruises,1,
52,2,12- Sep-2022,https://www.instagram.com/p/CiZTVpPsRJN/,1,"AlUla, Saudi Arabia",0,612,0,,0,,1,0,,0,,0,0,0,,0,,1,buggy ride in dunes,0,
53,2,13- Sep-2022,https://www.instagram.com/p/CicKcMTtgYg/,2,,0,"2,623",0,,0,,1,1,Mountain,0,,0,0,0,,0,,0,,0,
54,2,14- Sep-2022,https://www.instagram.com/p/Cie5pnPuJbs/,1,"AlUla, Saudi Arabia",1,"2,388",0,,0,,1,0,,0,,3,1,0,,0,,0,,1,
55,2,15- Sep-2022,https://www.instagram.com/p/CihUYz0OP1s/,1,"Tabuk, Saudi Arabia",0,"1,229",1,Tabuk Acient rock formations,0,,1,0,,0,,2,0,0,,0,,0,,1,
56,2,19- Sep-2022,https://www.instagram.com/p/CirW1tQMrDm/,1,Diriyah,1,"1,446",1,Diriyah,0,,0,0,,0,,2,0,0,,0,,0,,1,
57,2,21- Sep-2022,https://www.instagram.com/p/CiwixC6Mu9N/,2,"AlUla, Saudi Arabia",0,"15,881",1,AlUla Elephant Rock,0,,1,0,,0,,2,0,0,,0,,0,camping,1,
58,2,23- Sep-2022,https://www.instagram.com/p/Ci1VdYcsFGv/,2,Saudi Arabia,1,"16,114",0,,0,,1,0,,0,,1,0,0,,0,,0,,0,
59,2,24- Sep-2022,https://www.instagram.com/p/Ci39rRiM2qP/,1,"Al Qara Mountain, Hofuf",0,"1,494",1,Al Qara Mountain,0,,0,1,Mountain,0,,3,0,0,,0,,0,,0,
60,2,27- Sep-2022,https://www.instagram.com/p/Ci_8fTwDQEH/,1,,0,"1,142",0,,0,,0,1,forest and mountain,0,,0,0,0,,0,,0,,1,
